first_name,last_name,id,petType,birthday
Gottfried,Croston,488,"Rhea, common",6/28/1999
Essie,Sabie,489,"Otter, small-clawed",1/30/1998
Angelique,Barber,490,Steller sea lion,1/20/1984
Dory,Ilchenko,491,"Gull, southern black-backed",7/15/1989
Karine,Martugin,492,Greylag goose,8/4/1981
Caddric,Coite,493,Pygmy possum,8/22/1982
Quint,Andre,494,Sarus crane,12/11/1971
Christa,Ridsdell,495,White-throated toucan,6/30/1983
Clayton,Langworthy,496,North American red fox,5/10/1994
Adrienne,Featherston,497,Black-tailed deer,6/14/1981
Karilynn,Aymerich,498,"Bustard, kori",11/13/1981
Dynah,Serrell,499,"Hartebeest, red",6/19/1994
Harriet,Chestnutt,500,Common palm civet,6/19/1966
Armstrong,Nutty,501,"Possum, common brushtail",11/19/1973
Cherida,Mecchi,502,"Crake, african black",9/16/1965
Henderson,Bozier,503,Bee-eater (unidentified),12/29/1976
Jeromy,Jopp,504,"Stork, white",3/24/1968
Collie,Lackey,505,"Spoonbill, european",1/13/1978
Walt,Hessing,506,Giant otter,6/11/1988
Florrie,MacKeller,507,Sally lightfoot crab,2/1/1987
Francisco,Angrick,508,"Sandgrouse, yellow-throated",2/2/1970
Bernelle,Peeters,509,Tayra,2/25/1973
Hersh,Labb,510,"Squirrel, pine",11/14/1985
Shanie,Amsberger,511,Savannah deer (unidentified),8/2/1992
Nora,Shearer,512,Cape wild cat,3/15/1976
Tressa,Stockdale,513,South American sea lion,2/1/1983
Sayers,Stroyan,514,Black spider monkey,6/3/1972
Wald,Longstaffe,515,Blue and yellow macaw,12/10/1981
Querida,Yosifov,516,Long-crested hawk eagle,1/29/1965
Bibbie,Redpath,517,"Fox, bat-eared",9/16/1985
Janean,McCulley,518,Lesser flamingo,10/20/1964
Ritchie,Ragles,519,Green-backed heron,11/2/1974
Erik,Richford,520,Gray duiker,4/8/1974
Guglielma,Castagneri,521,"Cormorant, pied",10/24/1969
Valencia,Blackley,522,Tiger,4/9/1992
Harlen,Lehrmann,523,Western bearded dragon,12/27/1964
Gertrudis,Laugier,524,Four-spotted skimmer,1/12/1975
Ransom,Goor,525,"Lemur, ring-tailed",4/30/1993
Nicol,Deakan,526,"Gecko, bent-toed",5/7/1999
Nicolas,Mcimmie,527,"Legaan, ground",10/27/1970
Zara,Red,528,Striped dolphin,2/22/1991
Imogene,Ryves,529,Giraffe,8/8/1988
Renae,Anderl,530,"Robin, white-throated",10/10/1972
Sal,Kures,531,Collared lizard,12/12/1997
Trumaine,Pymar,532,Collared lizard,12/16/1973
Genna,McCaster,533,"Skua, great",12/3/1972
Ola,Turpey,534,Green vine snake,7/23/1967
Helen,Guarnier,535,"Bison, american",6/3/1986
Jaime,Keese,536,"Weaver, red-billed buffalo",12/10/1967
Maynord,Aleksich,537,Richardson's ground squirrel,5/3/1978
Elset,Chichgar,538,Indian porcupine,3/11/1977
Rosanne,Blaxter,539,Striped skunk,8/10/1996
Madison,Guare,540,Manatee,2/24/1979
Carin,Glanister,541,Blue-tongued skink,12/26/1984
Carma,Munday,542,Chestnut weaver,4/3/1966
Tate,Robertshaw,543,"Eagle, bateleur",1/24/1983
Virgil,Ronchetti,544,Orca,1/17/1990
Marlee,Lucia,545,"Lion, california sea",3/11/1981
Tiffy,Worswick,546,Mara,9/1/1983
Keefer,McKoy,547,Pale white-eye,8/21/1974
Neilla,Iacofo,548,Scottish highland cow,8/12/1975
Laney,Elion,549,Killer whale,9/8/1983
Wilow,Yankov,550,"Porcupine, indian",10/21/1986
Giorgio,Swapp,551,Tiger,5/9/1996
Robenia,Jeavon,552,Collared lizard,4/26/1995
Nigel,Klaus,553,Common boubou shrike,11/12/1982
Rachel,Comberbach,554,Asian foreset tortoise,8/27/1966
Yank,O'Sheilds,555,Black-tailed deer,3/8/1973
Clareta,Belleny,556,"Boa, emerald green tree",6/7/1984
Nerta,Toffolini,557,"Shrew, mandras tree",10/5/1969
Willi,Bowcock,558,"Oryx, beisa",3/8/1969
Grantham,Karlmann,559,Three-banded plover,1/15/1988
Nicolle,Abrahart,560,"Sungazer, yellow-brown",4/19/1991
Bert,Cornilli,561,Neotropic cormorant,6/14/1989
Moises,Morratt,562,Black rhinoceros,5/2/1991
Amalia,Andrei,563,"White-eye, cape",10/18/1979
Raychel,Jelk,564,Chital,6/2/1965
Bennie,Jendas,565,"Hornbill, southern ground",2/25/1995
Allin,Louthe,566,Bontebok,9/9/1983
Sutherland,Cursons,567,"Dragon, netted rock",12/12/1992
Belita,Mathieu,568,Tayra,1/26/1975
Mamie,Khristoforov,569,"Frogmouth, tawny",3/7/1972
Sallyanne,Heinle,570,"Dove, galapagos",4/12/1972
Fayre,Moorcraft,571,Groundhog,9/25/1987
Amii,Behnecken,572,"Kangaroo, western grey",11/24/1986
Harri,Sonnenschein,573,Black-tailed deer,6/4/1966
Arleta,Cotgrave,574,Eurasian beaver,9/16/1995
Konstance,Stanbrooke,575,"Cardinal, red-capped",10/27/1994
Gusella,Skipsea,576,Ferruginous hawk,12/19/1994
Morgana,Allright,577,"Otter, canadian river",1/15/1995
Olivero,Crampsey,578,Gray duiker,2/21/1966
Arlin,Moult,579,Rhesus macaque,1/12/1977
Ambrose,Dilleway,580,Eastern box turtle,1/18/1984
Tania,Colebourne,581,"Cormorant, pied",9/5/1982
Otis,Constanza,582,Australian pelican,6/3/1974
Patsy,Guidini,583,"Cockatoo, long-billed",10/23/1975
Lyda,Goldsby,584,Greylag goose,7/29/1979
Madelene,Cashman,585,"Cockatoo, slender-billed",9/2/1970
Lonna,Thirlwall,586,"Ibis, sacred",6/22/1992
Nerita,Hush,587,"Mouse, four-striped grass",8/15/1982
Joyce,Labden,588,Baleen whale,12/16/1978
Wyatan,Darnbrough,589,Wild water buffalo,1/3/1983
Hildagarde,Tomaskunas,590,"Lemur, lesser mouse",11/28/1979
Madeline,Bertwistle,591,Kinkajou,1/17/1987
Mitch,Gillicuddy,592,"Lion, mountain",5/13/1970
Evelin,Tenant,593,"Wombat, common",4/10/1981
Jessy,Patrone,594,Common boubou shrike,3/15/1986
Melitta,Border,595,Sarus crane,4/15/1993
Keith,Muckle,596,"Lory, rainbow",4/21/1978
Prudence,Eliesco,597,Black swan,1/8/1988
Eleen,Garfitt,598,"Monkey, red howler",2/8/1985
Terrill,McGilvra,599,Burmese black mountain tortoise,10/4/1991
Christy,Hannah,600,Laughing kookaburra,6/23/1968
Holly-anne,Ort,601,Little blue penguin,5/19/1972
Hersch,Layzell,602,Black spider monkey,7/13/1978
Janela,Scowen,603,Common rhea,4/26/1990
Hanna,Dadson,604,Red-necked phalarope,9/11/1987
Rosaleen,Ruddlesden,605,"Tortoise, indian star",10/31/1978
Allsun,Prettyjohn,606,"Plover, three-banded",8/30/1995
Bernie,Cholton,607,"Dragonfly, russian",8/14/1977
Odette,MacVagh,608,"Cat, african wild",5/4/1987
Heddie,Bampford,609,"Boa, columbian rainbow",12/28/1965
Edvard,Scottesmoor,610,South American meadowlark (unidentified),11/6/1980
Ethel,Coutthart,611,"Owl, snowy",3/13/1980
Manon,Puller,612,Common pheasant,1/20/1990
Blaire,Bool,613,Ring-necked pheasant,5/25/1976
Genna,Roath,614,Jabiru stork,10/25/1974
Ibbie,Bevington,615,African lion,6/23/1987
Kennan,Bonnette,616,Crested porcupine,8/10/1984
Tommi,Wartnaby,617,African buffalo,9/24/1976
Clywd,Reasun,618,"Kite, black",9/22/1994
Chrystal,Casassa,619,"Woodcock, american",7/31/1981
Marwin,Toft,620,Antelope ground squirrel,9/17/1997
Nickie,Chalice,621,Green-winged trumpeter,9/29/1979
Gustie,Welds,622,Madagascar hawk owl,9/13/1985
Percy,Vigar,623,Northern fur seal,5/28/1988
Sharline,Pearton,624,Sable antelope,10/26/1967
Lorettalorna,Caunter,625,Galapagos sea lion,8/3/1972
Cleon,MacNeillie,626,American black bear,11/6/1980
Ephrayim,Canavan,627,"Tamandua, southern",9/7/1987
Lizette,Garfoot,628,African polecat,7/30/1975
Carie,Randales,629,"Phalarope, red-necked",9/3/1997
Bendix,Wayt,630,Puku,4/1/1968
Marlyn,Mose,631,Crab-eating fox,11/26/1973
Laryssa,Barchrameev,632,"Peacock, blue",4/20/1972
Kirsteni,Lynskey,633,Javanese cormorant,2/24/1969
Cassandra,Torregiani,634,"Dik, kirk's dik",7/7/1987
Ax,Costar,635,Western pygmy possum,8/15/1990
Edyth,Mordy,636,Comb duck,9/12/1990
Elbertina,Ferrulli,637,American bison,11/28/1965
Perry,MacAllaster,638,Lesser double-collared sunbird,7/29/1980
Oswell,Grumley,639,"Spurfowl, yellow-necked",4/16/1984
Ryann,Morrid,640,"Legaan, Monitor (unidentified)",6/12/1974
Starr,Ferenczy,641,"Egret, snowy",7/12/1979
Jacquenette,Flack,642,Ostrich,6/28/1994
Meade,Yerlett,643,"Pademelon, red-legged",2/14/1966
Guillema,Oulett,644,Manatee,5/18/1982
Germaine,Ubanks,645,"Pelican, brown",9/7/1985
Starla,Bailes,646,"Gull, lava",4/27/1997
Rube,Quibell,647,Chameleon (unidentified),1/17/1998
Bastien,Prewett,648,"Squirrel, antelope ground",12/10/1975
Colin,Feaveryear,649,"Lion, south american sea",8/25/1995
Anni,Telford,650,"Stork, marabou",3/20/1990
Ellen,Cerith,651,Bushbuck,11/13/1967
Arlinda,Wroughton,652,"Hyena, brown",3/29/1979
Livia,Monshall,653,"Heron, yellow-crowned night",7/4/1990
Carlota,Nelligan,654,Indian star tortoise,7/12/1977
Rosie,Vamplers,655,"Gull, herring",8/11/1987
Leonore,Stedall,656,Lily trotter,7/11/1965
Dita,Mooring,657,Tawny eagle,4/1/1997
Leola,Dumphy,658,Steller sea lion,6/13/1976
Jaquelin,Cessford,659,Scarlet macaw,4/7/1985
Yancey,Nancekivell,660,"Parakeet, rose-ringed",11/16/1982
Tera,Lamball,661,Asian lion,4/30/1984
Chadwick,Dondon,662,Pronghorn,6/18/1985
Haley,Sadlier,663,Black-tailed tree creeper,11/24/1991
Purcell,Mobbs,664,"Zebra, plains",8/9/1983
Norma,Simecek,665,Lesser mouse lemur,7/19/1976
Marja,Le Barre,666,"Rat, white-faced tree",3/13/1970
Germain,Wathan,667,"Squirrel, richardson's ground",8/8/1981
Hadlee,Fellows,668,"Lion, galapagos sea",7/15/1971
Ailis,Butcher,669,"Boa, emerald green tree",4/21/1993
Carla,Rawstron,670,"Lizard, desert spiny",5/6/1978
Larisa,Lazer,671,"Tarantula, salmon pink bird eater",11/20/1972
Edlin,Stubbeley,672,"Heron, giant",1/20/1996
Jethro,Drake,673,Crimson-breasted shrike,10/5/1992
Carmen,McNysche,674,"Oryx, fringe-eared",3/28/1977
Cameron,Hebson,675,Lesser double-collared sunbird,4/26/1998
Layney,Jonas,676,African wild dog,5/23/1986
Parsifal,Cawthery,677,Malagasy ground boa,3/28/1998
Milt,Glavin,678,Common palm civet,12/19/1985
Staffard,McGeachey,679,"Cardinal, red-capped",9/7/1999
Joachim,O'Fallowne,680,Vine snake (unidentified),2/14/1972
Debbie,Manass,681,"Tern, white-winged black",6/30/1965
Cairistiona,Gravestone,682,"Frogmouth, tawny",5/29/1994
Melitta,Hiscoke,683,"Squirrel, uinta ground",11/8/1987
Crawford,Lawful,684,Blue waxbill,5/20/1989
Burg,Gardiner,685,Stanley crane,6/11/1999
Neale,Cortin,686,"Goose, greylag",2/6/1977
Aubrey,Gobel,687,Denham's bustard,11/29/1982
Davin,Sterzaker,688,Short-beaked echidna,10/11/1972
Mariette,Leffek,689,"Tortoise, burmese brown mountain",11/30/1991
Caldwell,Sally,690,"Lemming, arctic",6/16/1993
Emlyn,Thominga,691,"Tenrec, tailless",1/31/1967
Kassey,Frenzel;,692,"Kingfisher, malachite",10/25/1997
Rolando,Ranshaw,693,Puma,1/30/1986
Norman,Linnitt,694,Kelp gull,10/8/1964
Carlotta,Vine,695,Eastern white pelican,3/3/1973
Red,Ragbourn,696,"Kangaroo, jungle",3/10/1987
Suzann,Brandli,697,"Seal, northern elephant",10/25/1980
Arlana,Comellini,698,Springbuck,6/3/1997
Duane,Shortin,699,Pronghorn,4/19/1997
Ferdinand,Headly,700,White-winged tern,7/10/1973
Jordain,Crisall,701,Chimpanzee,6/5/1982
Lanni,Beachamp,702,"Mongoose, javan gold-spotted",3/11/1994
Blair,Rosenstiel,703,"Lizard, blue-tongued",3/15/1975
Devondra,Crossgrove,704,Red-tailed hawk,1/9/1979
Ruthie,Mathouse,705,"Drongo, fork-tailed",1/4/1970
Brooke,Malamore,706,"Otter, oriental short-clawed",7/29/1983
Patin,Hambleton,707,"Colobus, magistrate black",1/18/1992
Gilbertine,Veighey,708,Chimpanzee,2/13/1977
Mirna,Marrow,709,"Tern, arctic",10/5/1994
Kizzie,How,710,White-mantled colobus,9/5/1965
Aldon,Wakeham,711,Kalahari scrub robin,7/14/1981
Myrvyn,Lidgely,712,"Tortoise, burmese brown mountain",3/14/1985
Jorey,Rarity,713,Frilled dragon,1/6/1998
Leah,Ellor,714,"Ox, musk",6/9/1995
Colby,Beese,715,"Crane, blue",9/21/1995
Ardene,Chewter,716,"Alligator, mississippi",2/15/1986
Tomasine,Eccersley,717,"Dog, bush",6/26/1977
Darell,O' Hogan,718,Lizard (unidentified),5/14/1969
Ekaterina,Minmagh,719,Common brushtail possum,9/11/1978
Shelli,Parrington,720,Sea birds (unidentified),4/7/1979
Charlena,Penney,721,"Catfish, blue",9/24/1986
Tore,Lergan,722,Red meerkat,3/24/1975
Audre,Swinyard,723,"Goose, cereopsis",5/5/1975
Dean,Ovill,724,"Vulture, white-rumped",12/22/1992
Violante,Fetters,725,Crested porcupine,10/28/1994
Carilyn,Withull,726,Salmon pink bird eater tarantula,8/18/1994
Sibbie,Oxteby,727,Yellow baboon,4/17/1996
Simone,Beney,728,"Bat, madagascar fruit",8/2/1976
Dulcia,Weatherburn,729,"Gecko, barking",4/15/1985
Alicia,Comizzoli,730,"Squirrel, pine",5/14/1978
Mike,Gurley,731,Collared lemming,5/30/1969
Hayward,Algeo,732,Scottish highland cow,9/11/1993
Sinclair,Blyden,733,Spectacled caiman,7/16/1984
Sigrid,Bezant,734,"Waxbill, violet-eared",1/16/1973
Cordelia,Pinnegar,735,Black-capped chickadee,9/28/1966
Abeu,De Micoli,736,Red squirrel,7/23/1974
Emelda,Vautre,737,"Jackal, black-backed",5/17/1982
George,Tayler,738,"Porcupine, prehensile-tailed",1/15/1975
Kaiser,O'Grogane,739,Southern right whale,12/26/1970
Kaycee,Beadles,740,"Antelope, sable",5/4/1988
Antonio,Langhor,741,Giant anteater,8/18/1971
Paolina,Pimlett,742,"Stork, saddle-billed",4/19/1993
Andrew,Meiklem,743,Prehensile-tailed porcupine,5/9/1992
Heddie,Hendonson,744,Collared lemming,11/27/1983
Cameron,De Benedictis,745,Blue crane,3/29/1968
Tersina,Fullegar,746,"Boa, columbian rainbow",10/6/1988
Katharyn,Disbrey,747,Coyote,6/22/1975
Abbye,Cristofanini,748,"Badger, eurasian",9/9/1995
Standford,Stourton,749,Common duiker,3/12/1994
Alis,Ayliffe,750,"Cormorant, little",12/30/1986
Julie,Sille,751,"Pie, indian tree",5/25/1978
Basilio,Wheildon,752,Secretary bird,12/10/1988
Cassi,Pantin,753,"Pintail, bahama",12/27/1986
Maria,Mountlow,754,"Macaw, blue and gold",10/3/1994
Harriott,Dollard,755,"Starling, cape",12/23/1995
Margarita,Halle,756,"Hornbill, yellow-billed",6/28/1988
Chrissy,Shuker,757,"Porcupine, north american",4/6/1967
Jacinda,Blankhorn,758,Richardson's ground squirrel,3/6/1994
Ashla,Aubray,759,American beaver,1/16/1982
Lizabeth,Yushkov,760,Brush-tailed phascogale,7/14/1994
Bernete,Minall,761,Common rhea,3/3/1982
Auberta,Zecchetti,762,Nyala,5/20/1993
Egan,Weddeburn,763,Andean goose,7/21/1970
Walt,Harman,764,Springhare,11/11/1987
Alix,Henker,765,Ring-tailed lemur,7/5/1987
Gus,Mundle,766,Golden jackal,4/14/1994
Claudio,Berthon,767,"Glider, feathertail",12/28/1970
Eveline,Crampsy,768,"Goose, cape barren",2/28/1970
Bekki,Pagnin,769,Paddy heron (unidentified),1/28/1999
Lev,Dormer,770,"Hornbill, southern ground",9/13/1965
Selena,Adolfson,771,Kaffir cat,6/23/1983
Dan,Syder,772,Caracara (unidentified),11/30/1990
Travis,Audas,773,"Cobra, cape",7/30/1974
Brittani,Cowthard,774,"Cormorant, great",8/14/1974
Bernice,Spadazzi,775,Monitor lizard (unidentified),10/12/1986
Filberte,Duggleby,776,White-mantled colobus,2/22/1988
Alvera,Clynmans,777,Cheetah,9/12/1979
Darelle,Wilcockes,778,Galah,2/7/1997
Clarance,Pancast,779,White spoonbill,6/12/1981
Tildie,Cassel,780,Yellow-billed stork,4/27/1979
Linea,Twyford,781,Greater rhea,2/13/1991
Gawen,Lumbly,782,"Bushbaby, large-eared",10/20/1989
Leshia,McElree,783,"Fox, bat-eared",9/26/1978
Tracie,Gimlet,784,"Mongoose, yellow",2/3/1978
Glenine,Gagie,785,African elephant,11/6/1969
Ilysa,Roland,786,Malabar squirrel,12/19/1971
Chan,Godfree,787,Yellow-brown sungazer,2/3/1996
Boot,Hirschmann,788,"Tamandua, southern",11/18/1988
Dael,Chansonne,789,"Dove, mourning collared",11/13/1969
Janeen,Bricknall,790,Turkey vulture,1/10/1975
Tersina,Earingey,791,"Openbill, asian",1/4/1994
Aryn,Haselhurst,792,Gray langur,10/7/1980
Arv,Bearsmore,793,Agouti,1/26/1985
Odell,Lenthall,794,"Wambenger, red-tailed",8/12/1980
Jameson,Dimmock,795,Great egret,3/23/1972
Mirelle,Hamer,796,"Heron, giant",12/28/1980
Verna,Skellern,797,"Gull, dusky",12/14/1974
Gav,Marcos,798,"Rhinoceros, white",9/15/1991
Sheila,Isabell,799,Eurasian badger,2/8/1991
Garner,Vanstone,800,Collared lemming,6/14/1995
Kellen,O'Gormley,801,Black-faced kangaroo,8/4/1970
Thorin,Calcut,802,Swallow-tail gull,8/19/1979
Moses,Hinchcliffe,803,White-tailed jackrabbit,7/10/1983
Sherwin,Jayme,804,Common melba finch,8/13/1983
Edi,Hugnin,805,House crow,10/16/1984
Dannie,Rizzini,806,Eurasian beaver,10/27/1994
Amalea,Remer,807,Tropical buckeye butterfly,1/11/1968
Carlina,Tosh,808,Mississippi alligator,5/28/1968
Thornton,Funcheon,809,Arctic ground squirrel,1/11/1985
Gilbertina,Kirsch,810,White-winged tern,2/19/1970
Harriet,Siemianowicz,811,"Loris, slender",11/6/1975
Marybeth,Bulbrook,812,White-nosed coatimundi,4/3/1998
Karil,Saunter,813,"Badger, european",10/7/1982
Tori,Cradey,814,"Squirrel, european red",1/29/1995
Morley,Belward,815,"Fox, crab-eating",10/3/1980
Natala,Blencoe,816,"Seal, northern elephant",4/8/1968
Rorie,Cumberbatch,817,Chimpanzee,3/25/1991
Tulley,Phillcox,818,"Gorilla, western lowland",8/24/1980
Kendre,Childers,819,"Polecat, african",8/24/1986
Kienan,Scouse,820,"Porcupine, crested",4/29/1989
Jeannie,Harrowing,821,"Hartebeest, coke's",6/28/1995
Kaylil,Wittke,822,Caracara (unidentified),5/24/1980
Yorgos,Daingerfield,823,"Squirrel, african bush",1/27/1978
Crysta,Antonucci,824,"Dolphin, bottle-nose",3/8/1985
Simeon,Guilloton,825,"Baboon, gelada",2/18/1973
Reagen,Ollive,826,"Quoll, spotted-tailed",10/24/1974
Carney,Friedlos,827,Pine snake (unidentified),10/7/1986
Cristy,Brum,828,"Kiskadee, great",8/9/1983
Vilhelmina,Champagne,829,"Dragon, western bearded",3/1/1981
Phyllis,Whittaker,830,"Peacock, indian",4/8/1973
Helyn,Mayworth,831,Lesser flamingo,4/23/1971
Nicolai,Darthe,832,Banded mongoose,12/25/1969
Constantine,Gerran,833,Cook's tree boa,8/21/1972
Gilbertina,Antony,834,"Beaver, north american",1/23/1987
Violetta,Rutgers,835,"Cow, scottish highland",6/30/1988
Ketti,Graves,836,Chital,8/28/1996
Jorie,McNea,837,"Swan, black",4/13/1997
Maren,Cettell,838,Cape white-eye,1/13/1985
Dorolisa,Grinnell,839,"Kite, black",10/11/1967
Trumaine,Neles,840,"Dove, laughing",12/28/1971
Ealasaid,Pasquale,841,"Squirrel, richardson's ground",4/16/1981
Janenna,Jansson,842,"Kangaroo, jungle",1/19/1980
Gertruda,Olennikov,843,Cuis,3/16/1967
Thia,Keats,844,"Seal, northern fur",6/10/1979
Juline,Olivari,845,Yellow-throated sandgrouse,2/15/1987
Ezekiel,Colclough,846,European spoonbill,4/17/1983
Reine,Latore,847,Pale-throated three-toed sloth,9/23/1996
Brian,Broad,848,Gray langur,12/21/1987
Fidelity,Allman,849,African polecat,7/9/1976
Cassie,Pellew,850,"Drongo, fork-tailed",3/19/1998
Odele,Dawdary,851,African bush squirrel,2/25/1967
Jaclyn,Hardes,852,Black-backed magpie,9/21/1978
Becky,Finden,853,Cape wild cat,12/23/1974
Kassandra,Clorley,854,Miner's cat,4/22/1966
Gaynor,Chooter,855,"Parrot, hawk-headed",7/8/1980
Tessy,Blemen,856,Common waterbuck,4/27/1987
Gustave,Heiner,857,Saddle-billed stork,3/8/1966
Barrie,Fairbridge,858,Bare-faced go away bird,9/2/1993
Bryon,Hendrix,859,"Tern, white-winged black",4/30/1990
Goldia,Blaise,860,"Barbet, black-collared",3/15/1994
Abbie,Leys,861,"Whale, long-finned pilot",7/7/1973
Damaris,Ceney,862,"Dove, little brown",11/5/1989
Augustin,Danielovitch,863,Blue peacock,8/23/1997
Eddie,Marcoolyn,864,Rose-ringed parakeet,7/27/1968
Nicolas,Fewtrell,865,"Sungazer, yellow-brown",2/16/1988
Eric,Corteney,866,Nelson ground squirrel,4/24/1968
Noah,Bolver,867,"Heron, goliath",9/19/1983
Yoshiko,Nutter,868,"Crake, african black",5/20/1997
Immanuel,Barstow,869,Uinta ground squirrel,5/23/1981
Carine,Zollner,870,"Shrike, southern white-crowned",7/27/1975
Cindi,Remington,871,Saddle-billed stork,6/5/1980
Gordie,Everwin,872,"Rhea, common",2/25/1994
Micaela,McNally,873,"Goat, mountain",3/28/1997
Harmony,Wavish,874,"Wombat, common",4/17/1980
Erma,Fadian,875,Barasingha deer,8/22/1976
Marla,Allington,876,Blacksmith plover,2/21/1998
Conn,MacPadene,877,Neotropic cormorant,4/21/1988
Land,Goadbie,878,Silver-backed jackal,4/5/1973
Noni,MacGauhy,879,Painted stork,2/25/1998
Isak,Skeel,880,"Skimmer, four-spotted",10/9/1966
Steffie,MacKibbon,881,"Plover, blacksmith",1/19/1978
Karoly,Brookton,882,Black-tailed tree creeper,12/25/1987
Rodrick,Ferreres,883,American crow,6/18/1989
Cherrita,Collerd,884,Onager,5/19/1968
Camellia,Mougin,885,Red brocket,2/6/1990
Lucinda,Haveline,886,Dabchick,10/25/1993
Somerset,Mandrake,887,"Wombat, southern hairy-nosed",8/6/1988
Geri,MacColl,888,Black-crowned crane,2/18/1994
Aaron,Dreng,889,Great white pelican,7/4/1998
Elia,Conlaund,890,"Egret, snowy",11/14/1975
Karoly,Radley,891,Long-billed cockatoo,1/2/1970
Correy,Stuart,892,Platypus,11/9/1981
Leandra,Brown,893,Wild boar,10/16/1995
Tamas,Prendeville,894,Bennett's wallaby,6/29/1965
Benoit,Buffham,895,"Otter, giant",1/21/1969
Brook,de Mullett,896,Musk ox,7/29/1967
Nicol,Goldhill,897,Harbor seal,10/29/1967
Bud,Ilyasov,898,Savanna fox,3/31/1966
Caryl,Tapp,899,Bush dog,7/16/1989
Eugene,Dolton,900,"Cat, ringtail",7/2/1993
Alain,Blunt,901,Lesser flamingo,9/22/1973
Aubrey,Boichat,902,Kelp gull,8/26/1989
Zak,Antoniades,903,"Bustard, denham's",12/22/1975
Mirabelle,Wenderott,904,"Fox, cape",8/14/1975
Claudian,McNae,905,"Quoll, eastern",6/9/1986
Forrester,Laborda,906,"Monitor, white-throated",4/28/1997
Hedvige,Tander,907,Grison,10/8/1997
Aubrette,Cobello,908,"Heron, striated",4/17/1986
Laurice,Matiashvili,909,"Pintail, bahama",12/19/1980
Roseline,Ferreres,910,"Gazer, sun",10/2/1989
Jameson,Hilldrup,911,Suricate,9/8/1998
Claudina,Caswill,912,"Fox, blue",6/17/1996
Kinsley,Mansell,913,"Starling, red-shouldered glossy",6/11/1992
Garret,Arents,914,Blue shark,7/1/1976
Addie,Strangeway,915,American Virginia opossum,7/19/1965
Elizabet,Hustings,916,Asiatic wild ass,12/10/1998
Cordy,Presser,917,Blue racer,6/12/1988
Connor,Rushbury,918,Roe deer,3/28/1980
Bernardina,Zukierman,919,"Mynah, indian",3/13/1994
Neill,Paggitt,920,White-throated kingfisher,7/23/1977
Friedrich,Kynton,921,"Lemur, lesser mouse",8/7/1968
Eadmund,Glison,922,"Zebra, plains",3/30/1994
Harcourt,Cowern,923,Tiger cat,1/20/1972
Sunny,Spleving,924,"Lion, australian sea",11/14/1976
Blair,Liddle,925,Chilean flamingo,6/22/1990
Neile,Frayling,926,"Hawk, red-tailed",4/12/1967
Gussi,Climie,927,"Jackal, silver-backed",10/25/1992
Codie,Cornely,928,Anaconda (unidentified),5/6/1996
Freddi,Willstrop,929,"Weaver, white-browed sparrow",8/19/1998
Josselyn,Gordon,930,"Deer, barasingha",12/8/1975
Der,Barratt,931,"Magpie, black-backed",12/10/1986
Opalina,Enders,932,Green-backed heron,2/14/1993
Jesse,Normanell,933,"Avocet, pied",2/21/1973
Natalie,Moyle,934,"Lion, south american sea",9/28/1972
Brynna,Compston,935,Puma,8/16/1987
Keenan,Clatworthy,936,"Monkey, red howler",2/18/1970
Heida,Dyball,937,"Swan, black",11/2/1966
Forbes,Crookshank,938,"Possum, ring-tailed",8/4/1992
Sumner,Glyde,939,Collared lemming,4/9/1979
Klement,Awty,940,"Monitor, two-banded",11/17/1981
Tilly,Dossit,941,"Genet, common",10/4/1976
Heddi,Dawson,942,Chuckwalla,12/25/1971
Dorelle,McEllen,943,Red-tailed wambenger,9/20/1985
Tallie,Bertin,944,Arctic hare,2/27/1965
Debi,Kmicicki,945,"Plover, blacksmith",10/14/1978
Devin,Kochs,946,"Trumpeter, dark-winged",1/23/1990
Gris,Devita,947,Yellow-billed stork,11/4/1980
Giovanna,Filippo,948,Yellow-throated sandgrouse,7/8/1972
Aldous,Mugridge,949,Australian brush turkey,11/3/1984
Jacqueline,Mebes,950,"Cormorant, neotropic",8/21/1979
Pet,Lambrechts,951,Golden jackal,2/20/1991
Clo,Durden,952,Long-billed corella,9/20/1965
Freida,Pridmore,953,"Lemur, grey mouse",5/26/1976
Archibold,Roubert,954,Prehensile-tailed porcupine,1/26/1986
Denyse,Phifer,955,"Caiman, spectacled",6/3/1972
Dylan,Versey,956,Clark's nutcracker,11/28/1977
Chandler,Di Francesco,957,Blue-breasted cordon bleu,5/8/1972
Minnaminnie,Hawkeswood,958,"Raven, cape",10/9/1967
Sampson,Champniss,959,Coyote,1/22/1995
Frank,Rosebotham,960,Dark-winged trumpeter,4/23/1999
Alys,Armatage,961,Potoroo,9/26/1980
Meade,Spafford,962,Gerenuk,11/23/1973
Stefan,Toyne,963,Python (unidentified),7/28/1966
Franny,Buzza,964,"Seal, harbor",7/16/1985
Toby,Hare,965,Sea birds (unidentified),4/13/1999
Tobit,Kasman,966,Oriental short-clawed otter,10/14/1968
Sunny,Blockey,967,"Otter, canadian river",10/30/1984
Rowen,Rosenfield,968,"Antelope, sable",4/23/1977
Celine,Gaddas,969,"Wolf, timber",5/22/1971
Karlie,Leary,970,Swamp deer,9/29/1985
Bondon,Stanistreet,971,Defassa waterbuck,12/13/1984
Kirby,Raubenheimer,972,"Gull, silver",3/27/1986
Katee,Heyball,973,Arctic tern,4/16/1996
